BNR15;LOM;ZUGA_DAT
276090000000001;276000100000223;03.06.2011
276090000000001;276000912300523;15.07.2019
276090000000001;276000100000223;18.06.2016
276090000000001;276000913712207;03.10.2018
276090000000001;276000912345677;05.04.2019
276090000000001;276000988800001;20.05.2019
276090000000001;276000912345678;20.05.2019
BNR15;LOM;ZUGA_DAT
276090000000002;40000996247511;01.05.2005
276090000000002;276000932345676;21.09.2002
276090000000002;276000100000223;16.06.2016
276090000000002;276000220000308;28.08.2004
276090000000002;276000347805385;24.05.2012
276090000000002;276000910000002;18.10.2005
276090000000002;276000910000310;17.04.2005
276090000000002;276000912201401;17.04.2005
276090000000002;276000912209951;24.05.2012
276090000000002;276000912300009;04.08.2004
276090000000002;276000912300010;09.08.2004
276090000000002;276000912300083;15.11.2004
276090000000002;276000912300502;01.02.2004
276090000000002;276000912300503;01.02.2004
276090000000002;276000912300505;03.08.2004
276090000000002;276000912300510;01.09.2005
276090000000002;276000912300519;01.10.2005
276090000000002;276000912300600;17.11.2006
276090000000002;276000912300602;17.11.2006
276090000000002;276000912300603;17.11.2006
276090000000002;276000912300605;17.11.2006
276090000000002;276000912300606;17.11.2006
276090000000002;276000912322122;05.10.2005
276090000000002;276000912333333;01.12.2003
276090000000002;276000912347772;07.07.2004
276090000000002;276000912347774;07.07.2004
276090000000002;276000912347776;01.01.2004
276090000000002;276000912347777;15.06.2004
276090000000002;276000912400002;17.11.2006
276090000000002;276000913114006;16.11.2016
276090000000002;276000913114008;01.01.2014
276090000000002;276000932345678;21.09.2004
276090000000002;276000932345678;01.04.2013
276090000000002;276000940000003;14.11.2016
276090000000002;276000940000003;22.11.2016
276090000000002;276000940000004;04.03.2009
276090000000002;276000940000009;12.08.2008
276090000000002;276000980000998;01.10.2004
276090000000002;276000980000999;07.03.2005
276090000000002;276000988800000;28.08.2004
276090000000002;276002222222225;03.09.2004
276090000000002;348001234567891;27.04.2015
276090000000002;348001234567892;27.04.2015
276090000000002;642123000045679;27.04.2015
276090000000002;642123000045680;27.04.2015
276090000000002;642123000045681;27.04.2015
276090000000002;756120001319146;01.04.2010
276090000000002;756456789012345;27.04.2015
276090000000002;756567890123456;27.04.2015
276090000000002;276000936012346;05.09.2011
276090000000002;348001234567890;27.04.2015
276090000000002;756123456789012;27.04.2015
276090000000002;642123000045678;27.04.2015
BNR15;LOM;ZUGA_DAT
276090000000004;276000116566386;19.06.2017
276090000000004;276000913801119;11.05.2017
276090000000004;276000910000006;09.03.2017
276090000000004;276000910000006;10.03.2017
276090000000004;276000910000006;20.03.2017
276090000000004;276000910000006;24.03.2017
276090000000004;276000910000001;10.03.2017
276090000000004;276000910000006;13.03.2017
276090000000004;276000100000232;08.12.2016
276090000000004;276000910000001;19.07.2017
276090000000004;276000910000006;11.08.2017
276090000000004;276000912300100;11.08.2017
276090000000004;276000116566386;08.08.2017
276090000000004;276000347805382;08.08.2017
276090000000004;276000112345678;01.07.2007
276090000000004;276000116566386;02.10.2015
276090000000004;276000347805382;22.08.2014
276090000000004;276000910000006;16.05.2017
276090000000004;276000913801119;05.05.2017
276090000000004;276000913801119;10.05.2017
276090000000004;276000910000006;06.06.2017
276090000000004;276000910000006;15.05.2017
276090000000004;276000413312801;12.03.2016
276090000000004;276000910000003;06.06.2017
276090000000004;276000116566386;07.06.2017
276090000000004;276000116566386;08.06.2017
276090000000004;276000910000001;15.05.2017
276090000000004;276000347805382;08.06.2017
276090000000004;276000912300100;08.06.2017
276090000000004;276000913114001;08.06.2017
276090000000004;276000913801105;07.06.2017
276090000000004;276000913801105;08.06.2017
276090000000004;276000347805382;19.06.2017
276090000000004;276000910000001;26.06.2017
276090000000004;276000912300100;26.06.2017
276090000000004;276000910000001;08.08.2017
276090000000004;276000910000001;24.03.2017
276090000000004;276000910000006;17.03.2017
276090000000004;276000913801333;08.06.2017
276090000000004;276000891498800;19.07.2004
276090000000004;276000910000001;24.04.2007
276090000000004;276000910000002;01.01.2006
276090000000004;276000910000006;24.04.2007
276090000000004;276000910000007;01.01.2006
276090000000004;276000910000310;15.08.2005
276090000000004;276000910000310;16.08.2005
276090000000004;276000910000330;26.04.2005
276090000000004;276000912201401;01.11.2006
276090000000004;276000912300001;01.03.2004
276090000000004;276000912300001;01.08.2006
276090000000004;276000912300002;01.03.2004
276090000000004;276000912300003;31.12.2003
276090000000004;276000912300100;05.08.2004
276090000000004;276000912300100;16.08.2005
276090000000004;276000912300102;05.08.2004
276090000000004;276000912300104;05.08.2004
276090000000004;276000912300105;05.08.2004
276090000000004;276000912300106;05.08.2004
276090000000004;276000912300500;01.08.2004
276090000000004;276000912300501;11.08.2004
276090000000004;276000912300510;26.09.2005
276090000000004;276000912300511;22.09.2005
276090000000004;276000912300517;20.08.2004
276090000000004;276000912300519;02.01.2010
276090000000004;276000912300523;24.10.2007
276090000000004;276000912300600;01.12.2006
276090000000004;276000912300602;01.12.2006
276090000000004;276000912300603;01.12.2006
276090000000004;276000912300604;01.12.2006
276090000000004;276000912322122;01.02.2012
276090000000004;276000912322221;01.01.2006
276090000000004;276000912322222;01.01.2006
276090000000004;276000912322223;01.10.2006
276090000000004;276000912345678;31.12.2003
276090000000004;276000912345678;22.08.2006
276090000000004;276000912345678;01.03.2007
276090000000004;276000912345678;11.10.2007
276090000000004;276000912345678;20.12.2008
276090000000004;276000910000006;26.06.2017
276090000000004;276000116566386;06.07.2017
276090000000004;276000913114003;07.02.2015
276090000000004;276000913114008;06.08.2014
276090000000004;276000912300100;06.07.2017
276090000000004;276000913801105;19.08.2005
276090000000004;276000913801333;22.08.2006
276090000000004;276000925600004;20.09.2018
276090000000004;276000932345678;20.08.2013
276090000000004;276000936012347;19.09.2011
276090000000004;276000936012348;20.01.2014
276090000000004;276000940000002;14.10.2011
276090000000004;276000940000009;12.08.2008
276090000000004;276000986966200;20.08.2013
276090000000004;276001234567893;03.06.2005
276090000000004;276001313114910;01.04.2014
276090000000004;276001402222266;11.04.2006
276090000000004;756120006899612;08.04.2010
276090000000004;276000116566386;01.09.2017
276090000000004;276000413312801;12.09.2013
276090000000004;208000197280001;18.02.2019
276090000000004;276000912300088;18.02.2019
276090000000004;276000913712507;09.11.2018
276090000000004;276000913712407;10.09.2018
276090000000004;276000910000006;04.04.2017
276090000000004;276000910000006;24.04.2017
276090000000004;276000910000001;24.04.2017
276090000000004;276000912300521;18.02.2019
BNR15;LOM;ZUGA_DAT
276090000000001;276000912300523;15.07.2019
276090000000001;276000988800001;21.05.2019
276090000000001;276000912209951;21.05.2019
276090000000001;276000912345678;20.05.2019
276090000000001;276000988800001;20.05.2019
276090000000001;276000988800001;17.05.2019
276090000000001;276000347805382;01.05.2019
276090000000001;276000912345677;08.04.2019
276090000000001;276000912345677;05.04.2019
276090000000001;276000913712207;03.10.2018
276090000000001;276000912300513;29.06.2016
276090000000001;276000912300518;29.06.2016
276090000000001;276000410000222;20.06.2016
276090000000001;276000912300522;20.06.2016
276090000000001;276000912300444;20.06.2016
276090000000001;276000980000020;20.06.2016
276090000000001;276000100000223;18.06.2016
276090000000001;276000910000007;17.06.2016
276090000000001;276000912201401;17.06.2016
276090000000001;276000912300100;17.06.2016
276090000000001;276000936012346;17.06.2016
276090000000001;276000347805385;17.06.2016
276090000000001;276000912347773;16.06.2016
276090000000001;276000912345678;05.04.2016
276090000000001;276000100000232;03.08.2015
276090000000001;276000913104008;05.07.2015
276090000000001;276000116566380;04.07.2015
276090000000001;276000116566375;04.07.2015
276090000000001;276000116566377;04.07.2015
276090000000001;276000116566381;04.07.2015
276090000000001;276000116566382;04.07.2015
276090000000001;276000116566383;04.07.2015
276090000000001;276000116566384;04.07.2015
276090000000001;276000116566386;04.07.2015
276090000000001;276000100000230;03.07.2015
276090000000001;276000116566378;02.06.2015
276090000000001;276000913114002;16.09.2014
276090000000001;276000913114003;16.09.2014
276090000000001;276000912300100;25.04.2014
276090000000001;276000932345678;02.04.2013
276090000000001;276000912209951;02.01.2012
276090000000001;276000912300600;01.01.2012
276090000000001;276000912209951;01.01.2012
276090000000001;276000100000223;03.06.2011
276090000000001;276000912209951;07.02.2011
276090000000001;276000912209951;14.12.2010
276090000000001;276000347805383;01.12.2010
276090000000001;276000347805385;01.12.2010
276090000000001;276000936012345;22.11.2010
276090000000001;276000912345678;18.11.2010
276090000000001;276000912345678;01.11.2010
276090000000001;276000912345679;01.01.2010
276090000000001;276000912209951;01.01.2010
276090000000001;276000912345677;01.01.2010
276090000000001;276000500101616;01.01.2010
276090000000001;276000912345678;05.07.2006
276090000000001;276000988877774;07.07.2005
276090000000001;276000988877774;06.07.2005
276090000000001;276000347805387;18.05.2005
276090000000001;276000347805385;18.05.2005
276090000000001;276000347805383;17.05.2005
276090000000001;276000348445005;10.05.2005
276090000000001;40000996247511;29.04.2005
276090000000001;276000912300505;29.04.2005
276090000000001;276000347805389;30.03.2005
276090000000001;276000912300056;17.02.2005
276090000000001;276000910000900;27.01.2005
276090000000001;276000932345675;16.01.2005
276090000000001;276000912300600;01.01.2005
276090000000001;276000980000888;29.11.2004
276090000000001;276001300032165;07.10.2004
276090000000001;276000980000998;01.10.2004
276090000000001;276000912300508;15.08.2004
276090000000001;276000912300509;15.08.2004
276090000000001;276000912300007;09.08.2004
276090000000001;276000912300017;09.08.2004
276090000000001;276000912300016;09.08.2004
276090000000001;276000912300008;09.08.2004
276090000000001;276000347805401;31.05.2004
276090000000001;276000912300012;21.04.2004
276090000000001;276000932345678;21.09.2000
276090000000001;276000932345676;21.09.2000
276090000000001;276000932345679;21.09.2000
